# scripts/check.sh gate portability -- CAN THIS GATE RUN ON A GITHUB RUNNER?
#
# GENERATED FROM MEASUREMENT, not from reading the sources. Every row was produced by running its
# step in a runner-equivalent checkout -- `git clone --depth 1 --branch <br> file://<repo>`, which
# holds tracked files only and carries no game image, no origin/main, and only *.sample hooks --
# and comparing what it printed there against the developer tree. A static scan for
# `eldenring-deobf` was tried first and was wrong in BOTH directions: 18 gates that name the image
# ran fine without it, and gates that never name it failed. The scan was thrown away.
#
# THE DISTINCTION THAT MATTERS is not whether a gate exits 0 -- it is whether it CHECKED anything.
# Fourteen gates print one line saying their input is absent and exit 0, so check.sh wrote `passed`
# beside a gate that had asserted nothing at all. Those are `blocked`, and check.sh now skips them
# out loud. A gate that still carries real PASS lines beside its skip line is `partial` and is
# still run: half of something is coverage, and it says which half it lost.
#
# Re-measure with:
#   git clone --depth 1 --branch $(git rev-parse --abbrev-ref HEAD) file://$PWD /tmp/ci-sim
#   python3 scripts/ci-gate-portability.py --run --root /tmp/ci-sim --out /tmp/wt.json
#
# WHAT THAT MEASUREMENT CANNOT SEE: it relocates the REPO ROOT and nothing else. $HOME, $PATH and
# the installed toolchain are still the developer's, so a gate that reaches OUTSIDE the checkout
# is measured against a machine no runner resembles and comes back `portable` when it is not.
# One row was wrong for exactly this reason and only the first full CI run found it:
# test-windows-proof-render-smoke-verdict.py shelled out to run-windows-proof-render-smoke.sh,
# whose preflight require_file's $HOME/Elden/launch.sh -- the user's real ME3 launcher -- even
# under --dry-run, so it exited 2 on the runner and passed in every clone-based simulation. The
# fix was to make the test hermetic (it now points PRODUCT_LAUNCHER at a fixture), not to demote
# the row, because the gate itself never needed the launcher. When adding a row, read the step
# for $HOME, absolute paths outside the repo, and network or device access; the simulation will
# not fail them for you.
#
# `scripts/ci-gate-portability.py --check` requires every check.sh step that RUNS a repo script to
# have a row here, and every row to still name a step. That is what stops this classification
# drifting behind the suite the way .github/workflows/check.yml's hand-written step list did.
# Toolchain steps (cargo/shellcheck/rustfmt/opa/cupcake) are deliberately NOT ledgered: their
# dependency is "is the tool installed", which check.sh answers at run time in _check_tool_skip.
#
# columns: bucket <TAB> deps <TAB> key <TAB> what it does when the input is absent
#   portable  ran and passed with no game-derived input present
#   partial   ran, asserted something real, and said which half it could not do. STILL RUN.
#   blocked   asserted nothing (or refused outright). check.sh SKIPS it, loudly, as a non-pass.
#   deps      '-' for portable; otherwise what must exist, probed by DEP_PROBES in that script.
#             A leading '!' marks a dependency whose absence kills the gate outright rather than
#             costing it a half -- see fatal_deps(). Every dep of a `blocked` row is fatal.
blocked	git-baseline	check-no-local-main-commits.sh	exits 2 without refs/remotes/origin/main to diff a local main against
portable	-	audit-selftest-vacuity.py --selftest	source/AST/text analysis only
portable	-	test-check-sh-accumulates.py	source/AST/text analysis only
portable	-	ci-gate-portability.py --selftest	synthetic check.sh + synthetic ledger; needs nothing
portable	-	ci-gate-portability.py --check	reads check.sh and the ledger beside it
portable	-	check-no-timeouts.py	source/AST/text analysis only
portable	-	check-no-committed-build-artifacts.py --selftest	source/AST/text analysis only
portable	-	check-no-committed-build-artifacts.py	source/AST/text analysis only
portable	-	test-no-timeouts.py	source/AST/text analysis only
portable	-	test-git-pre-push-block-main.sh	source/AST/text analysis only
portable	-	check-oracle-writers.py --selftest	source/AST/text analysis only
portable	-	check-oracle-writers.py	source/AST/text analysis only
portable	-	check-counter-writers.py --selftest	source/AST/text analysis only
portable	-	check-counter-writers.py	source/AST/text analysis only
partial	image-1162,image-1170	check-oracle-singleton-globals.py --selftest	source half asserts and says 'selftest: ok'; the IMAGE half prints that it was skipped
partial	image-1162,image-1170	check-oracle-singleton-globals.py	still audits ungated module-base arithmetic; the IMAGE half prints that it was skipped
portable	-	check-fromsoftware-symbols.py --selftest	source/AST/text analysis only
portable	-	check-fromsoftware-symbols.py	source/AST/text analysis only
portable	-	check-sibling-pin-lockstep.py --selftest	source/AST/text analysis only
portable	-	check-sibling-pin-lockstep.py	reads .github/workflows/*.yml only
portable	-	check-launch-guardrails.py --audit	source/AST/text analysis only
portable	-	er-artifact-redirect-audit.py --selftest	source/AST/text analysis only
portable	-	er-artifact-redirect-audit.py	source/AST/text analysis only
portable	-	check-runtime-probe-contract.py --audit	source/AST/text analysis only
portable	-	test-runtime-probe-contract.py	source/AST/text analysis only
portable	-	test-er-readiness-watch.py	source/AST/text analysis only
blocked	save-corpus	test-save-slot-oracle.py	one line: the .sl2 fixture is game-derived and uncommitted, so no slot is parsed
portable	-	test-detect-proc.py	source/AST/text analysis only
portable	-	test-semaphore-watchdog.py	source/AST/text analysis only
portable	-	test-input-harness-static.py	source/AST/text analysis only
portable	-	test-wall-of-text-classifier.py	source/AST/text analysis only
portable	-	test-beads-prime-size.py	source/AST/text analysis only
portable	-	check-retired-button-labels.py	source/AST/text analysis only
portable	-	check-autoload-happy-path.py	source/AST/text analysis only
portable	-	test-autoload-happy-path.py	source/AST/text analysis only
portable	-	check-own-load-save-rejection-guard.py --selftest	source/AST/text analysis only
portable	-	check-own-load-save-rejection-guard.py	source/AST/text analysis only
portable	-	test-ifpe-finalization-proof.py	source/AST/text analysis only
